,example_idx,model,dataset,split,campaign_id,output_len,output_tokens,cutoff
0,0,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,11717,3280,False
1,1,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,5377,1439,False
2,2,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,8762,2292,False
3,3,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,4613,1113,False
4,4,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,8786,2322,False
5,5,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,19448,4977,False
6,6,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,7718,2381,False
7,7,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,7016,1957,False
8,8,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,12073,3546,False
9,9,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,17994,4117,False
10,10,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,9042,2365,False
11,11,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,7589,1822,False
12,12,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,11359,3078,False
13,13,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,23280,6007,False
14,14,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,22229,6048,False
15,15,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,14173,4043,False
16,16,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,6390,1565,False
17,17,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,7557,1883,False
18,18,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,3768,942,False
19,19,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,18841,4087,False
20,20,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,59981,17353,False
21,21,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,18156,5174,False
22,22,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,9935,3234,False
23,23,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,42905,11500,False
24,24,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,4987,1300,False
25,25,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,6201,1502,False
26,26,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,4288,1087,False
27,27,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,3520,900,False
28,28,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,6524,1682,False
29,29,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,4998,1341,False
30,30,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,7662,1894,False
31,31,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,16227,4098,False
32,32,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,4500,978,False
33,33,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,6431,1711,False
34,34,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,4259,884,False
35,35,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,15849,4521,False
36,36,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,7549,2284,False
37,37,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,4853,1259,False
38,38,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,8966,2215,False
39,39,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,6311,2078,False
40,40,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,7010,1853,False
41,41,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,9902,3061,False
42,42,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,8166,2251,False
43,43,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,9047,2347,False
44,44,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,3852,929,False
45,45,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,34242,9106,False
46,46,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,5587,1309,False
47,47,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,9634,2901,False
48,48,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,12541,3349,False
49,49,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,20245,5268,False
50,50,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,6451,1671,False
51,51,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,25572,5895,False
52,52,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,6280,1734,False
53,53,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,8349,2319,False
54,54,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,26175,6864,False
55,55,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,8563,2366,False
56,56,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,40633,10895,False
57,57,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,6416,1765,False
58,58,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,2741,793,False
59,59,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,5274,1446,False
60,60,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,4387,1137,False
61,61,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,3969,1032,False
62,62,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,18550,5015,False
63,63,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,2871,755,False
64,64,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,11522,3079,False
65,65,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,15336,3641,False
66,66,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,5778,1779,False
67,67,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,37831,11944,True
68,68,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,24730,6717,True
69,69,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,7051,1952,False
70,70,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,8583,2009,False
71,71,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,4948,1254,False
72,72,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,5919,1403,False
73,73,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,4729,1298,False
74,74,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,8565,2368,False
75,75,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,14124,3993,False
76,76,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,18025,4929,False
77,77,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,28803,7916,False
78,78,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,8131,1922,False
79,79,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,13476,3564,False
80,80,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,2569,667,False
81,81,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,17546,5844,False
82,82,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,9946,2655,False
83,83,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,2002,524,False
84,84,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,26540,7678,True
85,85,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,8090,1970,False
86,86,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,12785,3997,False
87,87,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,9250,2461,False
88,88,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,44623,12260,False
89,89,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,27535,8236,True
90,90,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,11127,3000,True
91,91,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,16692,4323,False
92,92,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,3884,1031,False
93,93,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,7056,1831,False
94,94,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,4044,1076,False
95,95,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,5141,1359,False
96,96,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,18425,5214,True
97,97,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,11483,3554,False
98,98,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,25183,5337,False
99,99,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,6131,1861,False
100,100,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,9931,2597,False
101,101,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,7056,1943,False
102,102,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,10285,2506,False
103,103,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,13951,3681,False
104,104,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,2850,766,False
105,105,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,5130,1326,False
106,106,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,3889,1034,False
107,107,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,3672,943,False
108,108,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,25017,6862,False
109,109,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,21094,5602,True
110,110,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,5836,1414,False
111,111,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,11032,2650,False
112,112,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,29187,8368,False
113,113,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,9615,2553,False
114,114,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,79267,22132,False
115,115,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,28944,7849,False
116,116,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,11746,3113,False
117,117,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,4008,852,False
118,118,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,17612,4447,False
119,119,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,39579,11106,False
120,120,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,29098,7947,False
121,121,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,7137,1653,False
122,122,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,6921,1970,False
123,123,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,33056,8921,False
124,124,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,6474,1620,False
125,125,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,6053,1558,False
126,126,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,25267,6503,False
127,127,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,15651,3700,False
128,128,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,9271,2423,False
129,129,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,33494,9360,True
130,130,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,5230,1428,False
131,131,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,5518,1323,False
132,132,openai/gpt-oss-120b,time-series-exam,test,tse-coder-tag-th30k,23573,6345,False
