,example_idx,model,dataset,split,campaign_id,output_len,output_tokens,cutoff
0,0,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,6120,1574,False
1,1,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,28974,12170,False
2,2,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,8056,2186,False
3,3,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,3386,941,False
4,4,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,6076,1562,False
5,5,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,4731,1287,False
6,6,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,7525,2513,False
7,7,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,3400,1037,False
8,8,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,12656,3982,False
9,9,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,7648,2122,False
10,10,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,5389,1402,False
11,11,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,17773,4300,False
12,12,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,10946,3493,False
13,13,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,8486,2121,False
14,14,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,33872,9335,False
15,15,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,21892,9137,False
16,16,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,14826,5873,True
17,17,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,4412,1173,False
18,18,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,3214,847,False
19,19,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,41484,16319,False
20,20,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,31509,8746,False
21,21,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,18126,8603,False
22,22,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,9815,2942,False
23,23,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,15201,4020,False
24,24,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,2776,712,False
25,25,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,49423,29296,False
26,26,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,43562,30012,True
27,27,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,2319,582,False
28,28,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,4117,1031,False
29,29,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,3048,821,False
30,30,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,5101,1361,False
31,31,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,4718,1287,False
32,32,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,22199,5772,False
33,33,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,2992,800,False
34,34,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,39596,18540,False
35,35,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,3470,1010,False
36,36,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,2590,771,False
37,37,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,3591,920,False
38,38,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,2260,602,False
39,39,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,9109,2984,False
40,40,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,5686,1425,False
41,41,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,6904,2162,False
42,42,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,10872,2889,False
43,43,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,11760,3349,False
44,44,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,4355,1015,False
45,45,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,16098,4659,False
46,46,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,7121,1744,False
47,47,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,33318,16204,False
48,48,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,9984,2814,False
49,49,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,5678,1360,False
50,50,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,8296,2234,False
51,51,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,23221,5836,False
52,52,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,8207,2258,False
53,53,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,3684,1009,False
54,54,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,20605,5668,False
55,55,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,4824,1268,False
56,56,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,4439,1225,False
57,57,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,2932,771,False
58,58,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,2413,755,False
59,59,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,3877,1052,False
60,60,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,3646,975,False
61,61,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,4190,1132,False
62,62,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,12890,4587,False
63,63,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,2694,715,False
64,64,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,10711,2999,False
65,65,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,21458,5005,False
66,66,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,5056,1437,False
67,67,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,4358,1183,False
68,68,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,3847,940,False
69,69,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,3991,1087,False
70,70,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,6806,1525,False
71,71,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,3718,910,False
72,72,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,51170,15514,False
73,73,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,4243,1019,False
74,74,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,10478,2757,False
75,75,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,7788,2247,False
76,76,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,12579,2987,False
77,77,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,24531,11303,False
78,78,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,4214,1020,False
79,79,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,4975,1305,False
80,80,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,2812,744,False
81,81,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,8006,3555,False
82,82,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,10683,2785,False
83,83,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,1559,431,False
84,84,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,41235,18068,False
85,85,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,7307,1882,False
86,86,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,44725,25788,True
87,87,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,2802,750,False
88,88,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,29483,8456,False
89,89,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,27568,13941,False
90,90,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,5128,1347,False
91,91,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,28238,10842,False
92,92,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,3438,969,False
93,93,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,8041,2061,False
94,94,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,5055,1426,False
95,95,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,3009,807,False
96,96,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,28338,10796,False
97,97,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,5204,1601,False
98,98,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,25529,6663,True
99,99,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,15057,4230,False
100,100,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,38526,10824,False
101,101,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,8676,2367,True
102,102,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,30431,8415,False
103,103,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,17651,4520,False
104,104,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,4711,1260,False
105,105,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,2114,579,False
106,106,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,6836,2003,False
107,107,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,12460,6757,False
108,108,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,7327,2271,False
109,109,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,4451,1216,False
110,110,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,22589,10480,False
111,111,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,20897,5338,False
112,112,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,18863,8538,False
113,113,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,6587,1812,False
114,114,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,23995,7281,False
115,115,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,18483,8071,False
116,116,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,8385,2284,False
117,117,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,40845,11123,False
118,118,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,66483,33643,False
119,119,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,34184,9479,False
120,120,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,33153,10281,True
121,121,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,5174,1527,False
122,122,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,2556,736,False
123,123,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,20762,5389,False
124,124,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,5935,1480,False
125,125,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,2994,814,False
126,126,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,24476,6163,False
127,127,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,22572,5922,False
128,128,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,9334,2722,False
129,129,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,24377,6428,False
130,130,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,3007,795,False
131,131,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,3193,860,False
132,132,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,18489,4961,True
133,133,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,42258,12344,False
134,134,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,19248,4789,False
135,135,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,4838,1192,False
136,136,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,8609,2404,False
137,137,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,16241,4476,False
138,138,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,3177,883,False
139,139,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,4377,1195,True
140,140,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,17448,4459,False
141,141,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,5862,1557,False
142,142,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,1909,517,False
143,143,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,3892,955,False
144,144,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,3492,954,False
145,145,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,11348,3286,False
146,146,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,16477,6518,True
147,147,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,21825,8951,False
148,148,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,5420,2330,False
149,149,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,2979,804,False
150,150,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,2362,616,False
151,151,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,8318,2360,False
152,152,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,4279,1208,False
153,153,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,42510,19411,True
154,154,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,34295,12594,False
155,155,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,37720,10615,False
156,156,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,6430,1760,False
157,157,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,12284,3214,False
158,158,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,17214,4654,False
159,159,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,18206,4700,False
160,160,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,4900,1383,False
161,161,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,12951,6188,True
162,162,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,44244,18201,True
163,163,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,24302,7481,False
164,164,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,7073,1825,False
165,165,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,7214,1938,False
166,166,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,24853,9169,False
167,167,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,8593,2472,False
168,168,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,37254,20194,True
169,169,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,12998,4299,False
170,170,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,17642,4698,False
171,171,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,3905,1063,False
172,172,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,6222,1807,False
173,173,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,11303,2793,False
174,174,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,5990,1504,False
175,175,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,5825,1469,False
176,176,openai/gpt-oss-120b,time-series-exam,test,tse-hybrid-tag-th30k,9358,2430,False
