,example_idx,model,dataset,split,campaign_id,output_len,output_tokens,cutoff
0,0,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-coder,3738,831,False
1,1,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-coder,2808,617,False
2,2,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-coder,4451,1001,False
3,3,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-coder,9074,2005,False
4,4,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-coder,6193,1420,False
5,5,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-coder,18825,4100,False
6,6,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-coder,3547,797,False
7,7,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-coder,10623,2298,False
8,8,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-coder,3053,682,False
9,9,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-coder,3149,717,False
10,10,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-coder,4282,992,False
11,11,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-coder,8167,1831,False
12,12,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-coder,3109,705,False
13,13,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-coder,3593,811,False
14,14,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-coder,3691,799,False
15,15,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-coder,3285,709,False
16,16,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-coder,3500,766,False
17,17,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-coder,5171,1143,False
18,18,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-coder,4383,993,False
19,19,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-coder,4460,1003,False
