,example_idx,model,dataset,split,campaign_id,output_len,output_tokens,cutoff
0,0,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,24770,14828,False
1,1,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,28680,15837,False
2,2,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,23940,13462,False
3,3,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,16359,8171,False
4,4,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,13025,7397,False
5,5,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,10731,5518,False
6,6,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,33241,20599,False
7,7,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,25156,14335,False
8,8,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,40746,23352,False
9,9,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,14330,7826,False
10,10,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,30047,18498,False
11,11,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,23101,13304,False
12,12,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,33520,18430,False
13,13,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,36404,22174,False
14,14,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,22704,11479,False
15,15,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,32822,19564,False
16,16,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,15181,7989,False
17,17,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,38428,21820,False
18,18,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,15924,8413,False
19,19,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,19525,10679,False
20,20,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,24829,15117,False
21,21,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,35592,21171,False
22,22,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,34504,20729,False
23,23,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,25612,15609,False
24,24,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,17980,9396,False
25,25,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,22189,12662,False
26,26,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,14868,8333,False
27,27,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,28946,17149,False
28,28,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-direct,14936,8515,False
