,example_idx,model,dataset,split,campaign_id,output_len,output_tokens,cutoff
0,0,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,2010,448,False
1,1,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,1789,421,False
2,2,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,2593,583,False
3,3,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,5258,1168,False
4,4,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,4181,982,False
5,5,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,4294,957,False
6,6,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,21397,9960,False
7,7,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,4180,950,False
8,8,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,2860,652,False
9,9,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,2440,555,False
10,10,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,4943,1108,False
11,11,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,2566,571,False
12,12,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,2583,582,False
13,13,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,4571,1062,False
14,14,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,2686,1059,False
15,15,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,7588,3247,False
16,16,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,1621,366,False
17,17,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,8104,3375,False
18,18,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,1987,438,False
19,19,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,4499,981,False
20,20,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,1939,440,False
21,21,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,4680,1085,False
22,22,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,2635,581,False
23,23,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,2336,539,False
24,24,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,3797,983,False
25,25,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,4772,1044,False
26,26,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,1790,436,False
27,27,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,2800,605,False
28,28,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,1929,430,False
29,29,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,2868,660,False
30,30,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,2037,479,False
31,31,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,9209,2028,False
32,32,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,2307,721,False
33,33,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,7567,3206,False
34,34,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,1909,442,False
35,35,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,2474,537,False
36,36,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,2332,532,False
37,37,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,1513,334,False
38,38,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,2383,538,False
39,39,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,1760,387,False
40,40,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,2945,669,False
41,41,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,3016,688,False
42,42,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,2219,489,False
43,43,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,1896,422,False
44,44,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,5101,1124,False
45,45,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,2647,625,False
46,46,openai/gpt-oss-120b,time-series-feature-understanding,test,tsfu-gpt-oss-hybrid,4252,921,False
