,example_idx,model,dataset,split,campaign_id,output_len,output_tokens,cutoff
0,0,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,9957,4287,False
1,1,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,32777,22850,False
2,2,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,17110,5670,False
3,3,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,22493,15753,False
4,4,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,11731,2736,False
5,5,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,27828,12222,False
6,6,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,6696,1588,False
7,7,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,15089,3487,False
8,8,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,9437,3517,False
9,9,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,24403,10606,False
10,10,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,14833,8895,False
11,11,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,48401,29485,False
12,12,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,18427,5920,False
13,13,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,40568,19205,False
14,14,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,43363,13532,False
15,15,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,30501,16587,False
16,16,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,26166,18544,False
17,17,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,29366,19143,False
18,18,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,7265,1790,False
19,19,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,33933,17407,False
20,20,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,16770,10580,False
21,21,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,22240,7517,False
22,22,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,22249,6446,False
23,23,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,27320,10161,False
24,24,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,6003,1635,False
25,25,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,13232,5441,False
26,26,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,26845,19826,False
27,27,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,10616,4642,False
28,28,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,18919,5132,False
29,29,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,68757,46298,False
30,30,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,16914,11956,False
31,31,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,11213,3396,False
32,32,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,6360,1347,False
33,33,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,28203,16929,False
34,34,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,32431,8863,False
35,35,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,19721,8600,False
36,36,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,46150,37050,False
37,37,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,15387,7992,False
38,38,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,21147,7223,False
39,39,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,18431,5601,False
40,40,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,23071,5865,False
41,41,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,11971,2733,False
42,42,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,19060,9749,False
43,43,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,42672,24966,False
44,44,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,6176,1534,False
45,45,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,31852,16767,False
46,46,qwen3-next,time-series-exam,test,tse-direct-tag-th30k-qwen-next-cot,5264,1311,False
