,example_idx,model,dataset,split,campaign_id,output_len,output_tokens,cutoff
0,0,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,44276,11545,False
1,1,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,12759,3010,False
2,2,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,155299,38403,False
3,3,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,42390,10957,False
4,4,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,27008,6638,False
5,5,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,33201,8246,False
6,6,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,25009,7685,False
7,7,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,30059,7601,False
8,8,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,27770,7098,False
9,9,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,20416,5204,False
10,10,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,23370,5562,False
11,11,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,103328,25736,False
12,12,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,33181,9024,False
13,13,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,10035,2310,False
14,14,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,22516,5546,False
15,15,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,66455,16828,False
16,16,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,33422,8381,False
17,17,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,19328,4843,False
18,18,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,13885,3339,False
19,19,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,36903,8376,False
20,20,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,127218,32522,False
21,21,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,38056,10535,False
22,22,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,83232,21742,False
23,23,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,40734,9969,False
24,24,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,24629,5807,False
25,25,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,48626,12079,False
26,26,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,125513,32187,False
27,27,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,23016,5623,False
28,28,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,102849,25190,False
29,29,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,68789,17499,False
30,30,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,95970,24637,False
31,31,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,27986,6690,False
32,32,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,18539,4315,False
33,33,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,27152,6686,False
34,34,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,16981,3783,False
35,35,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,165736,44305,False
36,36,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,18836,4808,False
37,37,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,138512,37075,False
38,38,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,12649,3011,False
39,39,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,20123,6095,False
40,40,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,21968,5408,False
41,41,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,44290,11343,False
42,42,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,23812,6000,False
43,43,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,22909,5875,False
44,44,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,130600,33980,False
45,45,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,63380,15881,False
46,46,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,35227,8116,False
47,47,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,45832,12630,False
48,48,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,56336,14764,False
49,49,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,23353,5233,False
50,50,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,31542,7381,False
51,51,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,18107,3891,False
52,52,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,25485,6299,False
53,53,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,26104,6334,False
54,54,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,21803,5108,False
55,55,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,31521,7950,False
56,56,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,11111,2365,False
57,57,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,17661,4126,False
58,58,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,25834,7376,False
59,59,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,16286,3944,False
60,60,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,15295,3803,False
61,61,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,11985,2846,False
62,62,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,115801,28537,False
63,63,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,52529,13170,False
64,64,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,25398,6714,False
65,65,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,16469,3514,False
66,66,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,31786,8278,False
67,67,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,32725,7774,False
68,68,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,27425,6631,False
69,69,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,28817,6763,False
70,70,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,37759,8375,False
71,71,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,102693,26571,False
72,72,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,41022,9419,False
73,73,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,27627,6954,False
74,74,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,15074,3435,False
75,75,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,23702,5987,False
76,76,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,36383,8856,False
77,77,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,46608,11316,False
78,78,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,98426,25167,False
79,79,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,33001,8274,False
80,80,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,14679,3549,False
81,81,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,40285,10598,False
82,82,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,24007,5850,False
83,83,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,14842,3748,False
84,84,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,84812,21842,False
85,85,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,157704,37732,False
86,86,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,26182,6537,False
87,87,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,18196,4338,False
88,88,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,66362,17718,False
89,89,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,132381,37017,False
90,90,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,57233,14524,False
91,91,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,11112,2402,False
92,92,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,20494,5188,False
93,93,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,22371,5309,False
94,94,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,27957,6900,False
95,95,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,23007,5807,False
96,96,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,110904,27405,False
97,97,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,89599,24537,False
98,98,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,28629,6925,False
99,99,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,25704,6269,False
100,100,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,74867,18056,False
101,101,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,23692,6045,False
102,102,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,14030,3225,False
103,103,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,15345,3531,False
104,104,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,20653,5213,False
105,105,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,17407,4183,False
106,106,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,15098,4008,False
107,107,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,32093,7575,False
108,108,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,37740,9963,False
109,109,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,30831,7047,False
110,110,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,74846,18082,False
111,111,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,22416,5302,False
112,112,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,36148,9279,False
113,113,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,113749,27656,False
114,114,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,40483,10059,False
115,115,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,34007,8021,False
116,116,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,82140,20402,False
117,117,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,7850,1662,False
118,118,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,49351,12209,False
119,119,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,92558,23137,False
120,120,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,57633,13764,False
121,121,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,31311,7448,False
122,122,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,18065,4724,False
123,123,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,27209,6275,False
124,124,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,22910,5612,False
125,125,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,15741,3565,False
126,126,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,98900,23889,False
127,127,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,41326,9358,False
128,128,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,21653,5413,False
129,129,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,21617,5139,False
130,130,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,25636,6312,False
131,131,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,91627,23864,False
132,132,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,39983,9873,False
133,133,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,78521,19233,False
134,134,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,16469,3514,False
135,135,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,28296,6809,False
136,136,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,51199,14329,False
137,137,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,83593,22539,False
138,138,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,22536,5477,False
139,139,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,46973,11996,False
140,140,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,14328,3220,False
141,141,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,19238,4804,False
142,142,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,17547,4484,False
143,143,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,30532,7320,False
144,144,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,153300,41478,False
145,145,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,28147,6541,False
146,146,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,24694,5961,False
147,147,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,30390,8048,False
148,148,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,30359,7960,False
149,149,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,21738,5550,False
150,150,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,19605,4696,False
151,151,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,23859,6064,False
152,152,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,23638,5735,False
153,153,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,45783,10798,False
154,154,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,15157,3434,False
155,155,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,77201,18950,False
156,156,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,12361,2594,False
157,157,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,42880,10907,False
158,158,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,26742,6213,False
159,159,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,135951,34092,False
160,160,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,30955,7254,False
161,161,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,54845,13324,False
162,162,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,29685,7493,False
163,163,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,39203,10655,False
164,164,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,37891,9882,False
165,165,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,32896,8334,False
166,166,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,40651,9714,False
167,167,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,39531,9817,False
168,168,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,27025,6248,False
169,169,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,23016,5678,False
170,170,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,26112,6191,False
171,171,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,24108,6199,False
172,172,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,22143,5377,False
173,173,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,34712,7825,False
174,174,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,14908,3566,False
175,175,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,112338,27240,False
176,176,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,102414,25197,False
177,177,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,45647,10852,False
178,178,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,21163,4985,False
179,179,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,35440,8576,False
180,180,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,18173,4195,False
181,181,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,134312,35531,False
182,182,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,27083,6678,False
183,183,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,18101,4403,False
184,184,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,21007,5075,False
185,185,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,14952,3202,False
186,186,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,129433,36176,False
187,187,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,140238,33993,False
188,188,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,45436,12507,False
189,189,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,144015,35685,False
190,190,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,16072,3497,False
191,191,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,36365,8028,False
192,192,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,59240,14884,False
193,193,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,11058,2779,False
194,194,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,50989,12316,False
195,195,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,123943,31532,False
196,196,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,27456,6449,False
197,197,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,49836,13563,False
198,198,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,145094,39228,False
199,199,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,17128,3726,False
200,200,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,31163,7443,False
201,201,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,30959,8771,False
202,202,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,10075,2113,False
203,203,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,94456,24811,False
204,204,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,33808,7961,False
205,205,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,10706,2289,False
206,206,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,21293,5889,False
207,207,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,105363,27913,False
208,208,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,36066,9484,False
209,209,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,19629,4427,False
210,210,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,86908,21294,False
211,211,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,20476,5503,False
212,212,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,12704,2864,False
213,213,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,20203,5429,False
214,214,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,121241,33129,False
215,215,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,108728,28341,False
216,216,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,35375,8838,False
217,217,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,167503,41894,False
218,218,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,94894,26290,False
219,219,qwen3-next,time-series-exam,test,tse-qwen-coder-fixed,19893,5061,False
