,example_idx,model,dataset,split,campaign_id,output_len,output_tokens,cutoff
0,0,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,14251,8160,False
1,1,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,49926,30006,True
2,2,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,47572,30012,True
3,3,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,4773,1173,False
4,4,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,18235,8620,False
5,5,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,10845,6100,False
6,6,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,2448,567,False
7,7,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,53308,30013,True
8,8,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,22620,13956,False
9,9,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,31377,15022,False
10,10,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,3066,739,False
11,11,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,5454,1294,False
12,12,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,50070,30019,True
13,13,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,38079,21798,False
14,14,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,8777,2547,False
15,15,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,29136,17405,False
16,16,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,17033,8187,False
17,17,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,2900,626,False
18,18,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,21366,11610,False
19,19,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,39018,18126,False
20,20,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,18702,11943,False
21,21,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,46071,30013,True
22,22,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,19337,11864,False
23,23,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,3434,784,False
24,24,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,2005,464,False
25,25,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,1586,396,False
26,26,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,2863,758,False
27,27,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,1228,295,False
28,28,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,15519,8734,False
29,29,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,67566,30006,True
30,30,openai/gpt-oss-120b,time-series-exam,test,tse-direct-tag-th30k,25058,13950,False
