,example_idx,model,dataset,split,campaign_id,output_len,output_tokens,cutoff
0,0,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,20985,6739,False
1,1,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,21902,11336,False
2,2,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,19720,5512,False
3,3,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,19002,5512,False
4,4,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,24075,6510,False
5,5,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,13872,3335,False
6,6,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,17745,5631,False
7,7,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,17309,4781,False
8,8,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,21087,6781,False
9,9,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,15046,3771,False
10,10,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,18855,7902,False
11,11,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,33489,7605,False
12,12,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,29584,9014,False
13,13,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,59281,31443,False
14,14,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,43018,12771,False
15,15,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,79641,27241,False
16,16,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,47006,25879,False
17,17,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,32057,18315,False
18,18,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,9830,2477,False
19,19,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,44009,16630,False
20,20,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,25106,14813,False
21,21,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,29580,13294,False
22,22,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,12207,3612,False
23,23,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,46829,17102,False
24,24,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,9764,2567,False
25,25,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,34828,15555,False
26,26,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,105605,27187,False
27,27,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,20022,9907,False
28,28,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,19384,5321,False
29,29,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,87294,22777,False
30,30,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,92476,24909,False
31,31,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,17692,5185,False
32,32,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,30259,7218,False
33,33,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,16783,4224,False
34,34,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,37156,10488,False
35,35,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,21265,5429,False
36,36,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,35534,19547,False
37,37,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,97879,31198,False
38,38,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,153787,46837,False
39,39,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,26796,7801,False
40,40,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,18522,4988,False
41,41,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,38473,11080,False
42,42,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,22063,10405,False
43,43,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,114672,34242,False
44,44,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,17510,4429,False
45,45,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,41212,11615,False
46,46,qwen3-next,time-series-exam,test,tse-hybrid-tag-th30k-qwen-next-cot,15205,3797,False
