,example_idx,model,dataset,split,campaign_id,output_len,output_tokens,cutoff
0,0,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,20831,5362,False
1,1,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,123831,31522,False
2,2,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,26407,6456,False
3,3,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,13558,3586,False
4,4,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,34147,8937,False
5,5,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,18646,4591,False
6,6,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,129773,42263,False
7,7,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,23332,6149,False
8,8,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,20935,5643,False
9,9,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,28465,7161,False
10,10,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,21897,5816,False
11,11,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,31985,7361,False
12,12,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,46483,12382,False
13,13,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,18693,4446,False
14,14,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,48588,12287,False
15,15,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,34271,8574,False
16,16,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,26015,5965,False
17,17,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,107566,27312,False
18,18,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,17400,4208,False
19,19,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,20913,4638,False
20,20,qwen3-next,time-series-exam,test,tse-coder-tag-qwen-next-th82k-cot,40952,9543,False
